iter	RMSE
0	29.68918186
1	29.17396276
2	28.64519439
3	28.17327571
4	27.72975164
5	27.31254182
6	26.95884057
7	26.60202771
8	26.20141875
9	25.91222239
10	25.62666865
11	25.35316671
12	25.12638294
13	24.8996506
14	24.67857284
15	24.4500008
16	24.24528501
17	24.03102942
18	23.84768332
19	23.64482354
20	23.50327385
21	23.34812273
22	23.20658432
23	23.08210045
24	22.95551993
25	22.8431961
26	22.69337086
27	22.59183338
28	22.4960996
29	22.40332534
30	22.3056343
31	22.21909209
32	22.14937251
33	22.07573763
34	21.98973559
35	21.91052128
36	21.84436321
37	21.77002127
38	21.71543835
39	21.63160489
40	21.57112706
41	21.51355805
42	21.4613019
43	21.40624868
44	21.34372982
45	21.29351809
46	21.23242472
47	21.18118337
48	21.13909457
49	21.10535142
50	21.05630164
51	20.99864507
52	20.96051738
53	20.92466633
54	20.87214716
55	20.81945354
56	20.78811811
57	20.74440102
58	20.70430067
59	20.67333633
60	20.62413138
61	20.57099072
62	20.54082321
63	20.49649411
64	20.45127549
65	20.42559053
66	20.37679055
67	20.3428305
68	20.31719604
69	20.28733848
70	20.25880385
71	20.2385472
72	20.21509852
73	20.18761737
74	20.15496245
75	20.10828371
76	20.0844326
77	20.03787806
78	20.01012111
79	19.99033796
80	19.97189057
81	19.95023884
82	19.91778111
83	19.90251698
84	19.8679397
85	19.83703314
86	19.80254761
87	19.74547686
88	19.71803723
89	19.695021
90	19.65861574
91	19.62973239
92	19.60465443
93	19.57957623
94	19.52811273
95	19.49816744
96	19.46176691
97	19.43682762
98	19.3982297
99	19.37451819
